Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Coffeeshop,Coffeeshop Latitude,Coffeeshop Longitude,Coffeeshop Category
Belmont,39.7334606,-84.1408753,Press Coffee Bar Belmont,39.731094,-84.14159,Coffee Shop
Belmont,39.7334606,-84.1408753,Press Coffee,39.731074,-84.141503,Coffee Shop
Belmont,39.7334606,-84.1408753,Kelly's Corner Cafe,39.731438,-84.142668,Coffee Shop
Belmont,39.7334606,-84.1408753,Communitea,39.737721285706954,-84.15005489543229,Tea Room
Burkhardt,39.7596715,-84.15142800000001,Bucholz Cafe,39.758365000000005,-84.154713,Coffee Shop
Carillon,39.7417955,-84.2004739,The Coffee Spot,39.746918,-84.197378,Coffee Shop
Downtown,39.7605709,-84.19493829999999,Ohio Coffee Company,39.75926848822663,-84.1919456253767,Coffee Shop
Downtown,39.7605709,-84.19493829999999,The Ohio Coffee Co.,39.756540468161404,-84.1926945004844,Coffee Shop
Downtown,39.7605709,-84.19493829999999,Starbucks,39.762834,-84.190413,Coffee Shop
Downtown,39.7605709,-84.19493829999999,3rd Perk,39.75632235066323,-84.19245922951089,Coffee Shop
Downtown,39.7605709,-84.19493829999999,Boston Stoker,39.76073496636144,-84.1932257506316,Coffee Shop
Downtown,39.7605709,-84.19493829999999,Starbucks,39.757082,-84.200228,Coffee Shop
Downtown,39.7605709,-84.19493829999999,Winans Chocolates + Coffees,39.764073,-84.187457,Coffee Shop
Eastern Hills,39.7534717,-84.1303207,Common Ground Unlimited,39.7546,-84.130702,Coffee Shop
Edgemont,39.7417347,-84.2156583,starbucks,39.748368,-84.213455,Coffee Shop
Fairborn,39.8208925,-84.0193789,Signatures Coffee,39.821886,-84.025456,Coffee Shop
Five Oaks,39.7728471,-84.2094347,Caresource Cafe,39.77225772980773,-84.20210513093481,Coffee Shop
Five Oaks,39.7728471,-84.2094347,North River Coffee House,39.766141,-84.20830600000001,Coffee Shop
Five Points,39.7529495,-84.205366,Starbucks,39.757082,-84.200228,Coffee Shop
Five Points,39.7529495,-84.205366,North River Coffee House,39.7567276990869,-84.20700256532537,Coffee Shop
Five Points,39.7529495,-84.205366,starbucks,39.748368,-84.213455,Coffee Shop
Five Points,39.7529495,-84.205366,The Coffee Spot,39.746918,-84.197378,Coffee Shop
Grafton Hill,39.766232099999996,-84.20548149999999,North River Coffee House,39.766141,-84.20830600000001,Coffee Shop
Grafton Hill,39.766232099999996,-84.20548149999999,Caresource Cafe,39.77225772980773,-84.20210513093481,Coffee Shop
Historic Inner East,39.7591175,-84.16593490000001,St. Anne The Tart,39.758415,-84.173211,Coffee Shop
Historic Inner East,39.7591175,-84.16593490000001,Bucholz Cafe,39.758365000000005,-84.154713,Coffee Shop
Kettering,39.6895036,-84.16882740000001,EPIC Coffee Shop,39.689313,-84.169651,Coffee Shop
Kettering,39.6895036,-84.16882740000001,Starbucks,39.688124,-84.162034,Coffee Shop
MacFarlane,39.7514833,-84.2186578,starbucks,39.748368,-84.213455,Coffee Shop
McPherson Town Historic District,39.7677552,-84.195904,Starbucks,39.762834,-84.190413,Coffee Shop
McPherson Town Historic District,39.7677552,-84.195904,Boston Stoker,39.76073496636144,-84.1932257506316,Coffee Shop
McPherson Town Historic District,39.7677552,-84.195904,Winans Chocolates + Coffees,39.764073,-84.187457,Coffee Shop
Oakwood,39.7253369,-84.1741059,Tastefully Roasted,39.73310953621101,-84.17993931182534,Coffee Shop
Patterson Park,39.720196200000004,-84.1580225,Tim Hortons,39.7245381,-84.1533732,Coffee Shop
Patterson Park,39.720196200000004,-84.1580225,Payne's Cafe,39.715786,-84.148727,Coffee Shop
Philadelphia Woods,39.798605,-84.2370999,the coffee lounge,39.798851,-84.235737,Coffee Shop
Riverdale,39.773670200000005,-84.20021009999999,Caresource Cafe,39.77225772980773,-84.20210513093481,Coffee Shop
Shroyer Park,39.7280355,-84.16066009999999,Tim Hortons,39.7245381,-84.1533732,Coffee Shop
South Park,39.7496406,-84.18175670000001,Ghostlight Coffee,39.750330923690065,-84.17538413806969,Coffee Shop
South Park,39.7496406,-84.18175670000001,PRESS,39.75748751045048,-84.18269285544804,Coffee Shop
South Park,39.7496406,-84.18175670000001,Biggby Coffee,39.749,-84.185295,Coffee Shop
South Park,39.7496406,-84.18175670000001,Starbucks,39.7423325,-84.18219353,Coffee Shop
South Park,39.7496406,-84.18175670000001,Wholly Grounds Coffee House,39.752375,-84.177471,Coffee Shop
South Park,39.7496406,-84.18175670000001,Reza’s Downtown,39.755619,-84.180195,Coffee Shop
South Park,39.7496406,-84.18175670000001,Ghostlight Coffee Midtown,39.747635,-84.18977,Coffee Shop
Twin Towers,39.7487029,-84.166801,Ghostlight Coffee,39.750330923690065,-84.17538413806969,Coffee Shop
Twin Towers,39.7487029,-84.166801,Wholly Grounds Coffee House,39.752375,-84.177471,Coffee Shop
University Park,39.7358456,-84.1883478,Starbucks,39.7423325,-84.18219353,Coffee Shop
University Park,39.7358456,-84.1883478,Tastefully Roasted,39.73310953621101,-84.17993931182534,Coffee Shop
University Park,39.7358456,-84.1883478,The Blend/ Blend Express,39.7402216698189,-84.17943429425742,Coffee Shop
Wolf Creek,39.7566189,-84.2186578,North River Coffee House,39.7567276990869,-84.20700256532537,Coffee Shop
Oregon,39.757308,-84.1824895,PRESS,39.75748751045048,-84.18269285544804,Coffee Shop
Oregon,39.757308,-84.1824895,Ghostlight Coffee,39.750330923690065,-84.17538413806969,Coffee Shop
Oregon,39.757308,-84.1824895,Ohio Coffee Company,39.75926848822663,-84.1919456253767,Coffee Shop
